mendemobilisasikan	demobilize||1
rippe ahli	rippe||1
vitulli telah	vitulli||1
kolestrol	cholesterol||2
(pilot project) inovatif	innovative||1
menyiksa	castigating||1 tortured||1
burns teheran tak	burns||1
godaan	temptation||1
ketat hanya	strictly||1
para juragan akan memperoleh komisi	commision||1
kesan lokasi sebuah satu episode	one-shot||1
petenis bulgaria pun	bulgarian||1
tasikmalaya jaraknya	tasikmalaya||1
dihukum mati	executed||1
thrombosis akibat bertahan	thrombosis||1
penggemar foto mencetak foto membingkai membeli termutakhir	photo||1
berangin	windy||1
mangsa baginya	prey||1
meningkatkan indikator	improve||1
kecepatan angin	velocity||1
diperdagangkan	trading||1 traded||1 launched||1 trade||1
bintang berukuran terang matahari	sun||1
melibatkan ombudsman	involve||1
terendah	lowest||1
studi ternyata	studies||1
terendam	inundated||1
kepatuhan	compliance||11
marah malah	angry||1
pembelajaran	learning||1
gould seorang	gould||1
penekanan besar	emphasis||1
jurnal literary	literary||1
secara terkesan	impressed||1
long beach seafood	seafood||1
berpotensi menyebabkan terjadinya	potentially||1
antivirus laptop-laptop	antivirus||1
menelusuri perdagangan-perdagangan	track||1
perkiraan pemasukan	forecast||1
diperkosa	raped||1
semakin	more||1
pernah menjumpai serupa tata surya	solar||1
tubrukan	collision||1
tak	inevitably||1 no||1 never||7 nothing||1 cannot||1 not||10
rice melakukan	rice||1
makhluk hidup	living||1 creature||1 creatures||1
porsi tergolong namun sangat menggairahkan bersifat padat karya syumli	labour-intensive||1
zouk terdiri	zouk||1
suka akhir cerita bahagia seperti	endings||1
secara umum mendukung  plan	supportive||1
dunia lagi memberi murah	concessional||1
kreditor menemukan	creditors||1
menjabat kalinya	spell||1
pemerintahnya pimpinan hamas	hamas-led||1
lampard merupakan pemain	lampard||1
jasmani	bodily||1 physical||1
memiliki sangat besar	substantial||1
jangan berdosa engkau	you||2
dalam minangkabau dan	minangkabau||1
bapepam-lk	bapepam-lk||12
akan datang	impending||1 coming||13
niscaya menghasilkan efek-efek samping	effects||1
kepada mereka sebab telah tersiar kabar	them||1
sedang mengejar agar kata bush	pursuing||1
bab sampai bab memaparkan	chapters||1
piala	trophy||1 cup||1
traffic juga meroket	soars||1
insinyur design	engineers||1
sinar uvb	uvb||1
babi terlibat	swine||1
lingkungan lingkungan	environment||1
suntik	syringe||3
karibu	caribou||1
jet-jet	jets||1
biografi	biography||3
berupa cahaya 	lights||1
dimiliki gurita	octopus||1
china	china||1 chinese||1
